RV32I,wasm,note
I-type,,
ADDI imm12,i32.add,
SLTI imm12,i32.gt_s,
SLTIU imm12,i32.gt_u,
ANDI imm12,i32.and,
ORI imm12,i32.or,
XORI imm12,i32.xor,
,,
SLLI imm5,i32.shl,
SRLI imm5,i32.shr_u,
SRAI imm5,i32.shr_s,
,,
LUI imm20,,load upper immediate
AUIPC imm20,,add upper immediate to pc
R-type,,
ADD,i32.add,
SLT,i32.gt_s,
SLTU,i32.gt_u,
AND,i32.and,
OR,i32.or,
XOR,i32.xor,
SLL,i32.shl,
SRL,i32.shr_u,
SUB,i32.sub,
SRA,i32.shr_s,
,,
,i32.mul,
,i32.div_s,
,i32.div_u,
,i32.rem_s,
,i32.rem_u,
,i32.rotr,
,i32,rotl,
